"loc_id";"int_type";"int_val";"valid_since";"date_type_since";"valid_until";"date_type_until"
"105";"600700000";"82169000";;;"3000-01-01";"300500000"
"119";"600700000";"2828986";;;"3000-01-01";"300500000"
"16534";"600700000";"86006";;;"3000-01-01";"300500000"
"19236";"600700000";"233620";;;"3000-01-01";"300500000"
"20437";"600700000";"212095";;;"3000-01-01";"300500000"
"21517";"600700000";"78128";;;"3000-01-01";"300500000"
"258";"600700000";"137390";;;"3000-01-01";"300500000"
"13466";"600700000";"3588";;;"3000-01-01";"300500000"
"13728";"600700000";"250";;;"3000-01-01";"300500000"
"13837";"600700000";"640";;;"3000-01-01";"300500000"
"14094";"600700000";"925";;;"3000-01-01";"300500000"
"14104";"600700000";"189";;;"3000-01-01";"300500000"
"14107";"600700000";"844";;;"3000-01-01";"300500000"
"14320";"600700000";"36";;;"3000-01-01";"300500000"
"14965";"600700000";"212";;;"3000-01-01";"300500000"
"15051";"600700000";"13789";;;"3000-01-01";"300500000"
"15088";"600700000";"1115";;;"3000-01-01";"300500000"
"15145";"600700000";"4880";;;"3000-01-01";"300500000"
"15146";"600700000";"345";;;"3000-01-01";"300500000"
"15170";"600700000";"871";;;"3000-01-01";"300500000"
"15179";"600700000";"4364";;;"3000-01-01";"300500000"
"15241";"600700000";"331";;;"3000-01-01";"300500000"
"15497";"600700000";"801";;;"3000-01-01";"300500000"
"15499";"600700000";"737";;;"3000-01-01";"300500000"
"15580";"600700000";"734";;;"3000-01-01";"300500000"
"15635";"600700000";"714";;;"3000-01-01";"300500000"
"15702";"600700000";"611";;;"3000-01-01";"300500000"
"15954";"600700000";"1462";;;"3000-01-01";"300500000"
"15993";"600700000";"836";;;"3000-01-01";"300500000"
"16143";"600700000";"915";;;"3000-01-01";"300500000"
"16233";"600700000";"808";;;"3000-01-01";"300500000"
"16450";"600700000";"277";;;"3000-01-01";"300500000"
"16666";"600700000";"401";;;"3000-01-01";"300500000"
"16711";"600700000";"71";;;"3000-01-01";"300500000"
"16715";"600700000";"2522";;;"3000-01-01";"300500000"
"16861";"600700000";"213";;;"3000-01-01";"300500000"
"17108";"600700000";"119";;;"3000-01-01";"300500000"
"17448";"600700000";"529";;;"3000-01-01";"300500000"
"17614";"600700000";"128";;;"3000-01-01";"300500000"
"17646";"600700000";"425";;;"3000-01-01";"300500000"
"17744";"600700000";"54";;;"3000-01-01";"300500000"
"18034";"600700000";"271";;;"3000-01-01";"300500000"
"18047";"600700000";"20716";;;"3000-01-01";"300500000"
"18135";"600700000";"169";;;"3000-01-01";"300500000"
"18148";"600700000";"964";;;"3000-01-01";"300500000"
"18156";"600700000";"514";;;"3000-01-01";"300500000"
"18161";"600700000";"2989";;;"3000-01-01";"300500000"
"18180";"600700000";"1880";;;"3000-01-01";"300500000"
"18340";"600700000";"86";;;"3000-01-01";"300500000"
"18402";"600700000";"1249";;;"3000-01-01";"300500000"
"18466";"600700000";"64";;;"3000-01-01";"300500000"
"18589";"600700000";"338";;;"3000-01-01";"300500000"
"18823";"600700000";"97";;;"3000-01-01";"300500000"
"19021";"600700000";"364";;;"3000-01-01";"300500000"
"19113";"600700000";"132";;;"3000-01-01";"300500000"
"19442";"600700000";"452";;;"3000-01-01";"300500000"
"19669";"600700000";"663";;;"3000-01-01";"300500000"
"19716";"600700000";"965";;;"3000-01-01";"300500000"
"19753";"600700000";"556";;;"3000-01-01";"300500000"
"19762";"600700000";"664";;;"3000-01-01";"300500000"
"20073";"600700000";"1160";;;"3000-01-01";"300500000"
"20238";"600700000";"396";;;"3000-01-01";"300500000"
"20263";"600700000";"876";;;"3000-01-01";"300500000"
"20361";"600700000";"1942";;;"3000-01-01";"300500000"
"20498";"600700000";"1655";;;"3000-01-01";"300500000"
"20675";"600700000";"6018";;;"3000-01-01";"300500000"
"20676";"600700000";"341";;;"3000-01-01";"300500000"
"20799";"600700000";"7655";;;"3000-01-01";"300500000"
"21411";"600700000";"1044";;;"3000-01-01";"300500000"
"21438";"600700000";"646";;;"3000-01-01";"300500000"
"21439";"600700000";"144";;;"3000-01-01";"300500000"
"21743";"600700000";"1165";;;"3000-01-01";"300500000"
"21775";"600700000";"430";;;"3000-01-01";"300500000"
"21782";"600700000";"144";;;"3000-01-01";"300500000"
"21787";"600700000";"287";;;"3000-01-01";"300500000"
"21791";"600700000";"2753";;;"3000-01-01";"300500000"
"22057";"600700000";"325";;;"3000-01-01";"300500000"
"22094";"600700000";"273";;;"3000-01-01";"300500000"
"22112";"600700000";"283";;;"3000-01-01";"300500000"
"22224";"600700000";"462";;;"3000-01-01";"300500000"
"22243";"600700000";"963";;;"3000-01-01";"300500000"
"22293";"600700000";"1168";;;"3000-01-01";"300500000"
"22711";"600700000";"199";;;"3000-01-01";"300500000"
"22778";"600700000";"163";;;"3000-01-01";"300500000"
"22901";"600700000";"609";;;"3000-01-01";"300500000"
"22959";"600700000";"427";;;"3000-01-01";"300500000"
"23525";"600700000";"355";;;"3000-01-01";"300500000"
"23547";"600700000";"3728";;;"3000-01-01";"300500000"
"23565";"600700000";"735";;;"3000-01-01";"300500000"
"23608";"600700000";"1343";;;"3000-01-01";"300500000"
"23613";"600700000";"595";;;"3000-01-01";"300500000"
"23755";"600700000";"239";;;"3000-01-01";"300500000"
"23786";"600700000";"215";;;"3000-01-01";"300500000"
"23962";"600700000";"77";;;"3000-01-01";"300500000"
"23967";"600700000";"489";;;"3000-01-01";"300500000"
"24587";"600700000";"486";;;"3000-01-01";"300500000"
"24694";"600700000";"96";;;"3000-01-01";"300500000"
"24727";"600700000";"536";;;"3000-01-01";"300500000"
"24733";"600700000";"874";;;"3000-01-01";"300500000"
"24734";"600700000";"542";;;"3000-01-01";"300500000"
"26342";"600700000";"1334";;;"3000-01-01";"300500000"
"24875";"600700000";"2493";;;"3000-01-01";"300500000"
"24988";"600700000";"178";;;"3000-01-01";"300500000"
"25079";"600700000";"269";;;"3000-01-01";"300500000"
"25471";"600700000";"368";;;"3000-01-01";"300500000"
"25614";"600700000";"37";;;"3000-01-01";"300500000"
"25721";"600700000";"284";;;"3000-01-01";"300500000"
"25757";"600700000";"2321";;;"3000-01-01";"300500000"
"25913";"600700000";"465";;;"3000-01-01";"300500000"
"25946";"600700000";"77";;;"3000-01-01";"300500000"
"26008";"600700000";"3112";;;"3000-01-01";"300500000"
"26009";"600700000";"142";;;"3000-01-01";"300500000"
"26010";"600700000";"151";;;"3000-01-01";"300500000"
"26012";"600700000";"1352";;;"3000-01-01";"300500000"
"26024";"600700000";"98";;;"3000-01-01";"300500000"
"26026";"600700000";"908";;;"3000-01-01";"300500000"
"26109";"600700000";"165";;;"3000-01-01";"300500000"
"26221";"600700000";"841";;;"3000-01-01";"300500000"
"26414";"600700000";"345";;;"3000-01-01";"300500000"
"26454";"600700000";"732";;;"3000-01-01";"300500000"
"21783";"600700000";"649";;;"3000-01-01";"300500000"
"24886";"600700000";"692";;;"3000-01-01";"300500000"
"24728";"600700000";"396";;;"3000-01-01";"300500000"
"22095";"600700000";"274";;;"3000-01-01";"300500000"
"463";"600700000";"186255";;;"3000-01-01";"300500000"
"13475";"600700000";"59";;;"3000-01-01";"300500000"
"13623";"600700000";"874";;;"3000-01-01";"300500000"
"13824";"600700000";"3092";;;"3000-01-01";"300500000"
"14022";"600700000";"808";;;"3000-01-01";"300500000"
"14023";"600700000";"237";;;"3000-01-01";"300500000"
"14141";"600700000";"686";;;"3000-01-01";"300500000"
"14145";"600700000";"388";;;"3000-01-01";"300500000"
"14211";"600700000";"395";;;"3000-01-01";"300500000"
"14352";"600700000";"2047";;;"3000-01-01";"300500000"
"14408";"600700000";"76";;;"3000-01-01";"300500000"
"14604";"600700000";"702";;;"3000-01-01";"300500000"
"14700";"600700000";"3847";;;"3000-01-01";"300500000"
"14809";"600700000";"305";;;"3000-01-01";"300500000"
"14918";"600700000";"1791";;;"3000-01-01";"300500000"
"14996";"600700000";"273";;;"3000-01-01";"300500000"
"15052";"600700000";"153";;;"3000-01-01";"300500000"
"15053";"600700000";"615";;;"3000-01-01";"300500000"
"15091";"600700000";"243";;;"3000-01-01";"300500000"
"15096";"600700000";"157";;;"3000-01-01";"300500000"
"15106";"600700000";"5524";;;"3000-01-01";"300500000"
"15394";"600700000";"152";;;"3000-01-01";"300500000"
"15405";"600700000";"354";;;"3000-01-01";"300500000"
"15449";"600700000";"3088";;;"3000-01-01";"300500000"
"15858";"600700000";"158";;;"3000-01-01";"300500000"
"15895";"600700000";"537";;;"3000-01-01";"300500000"
"16061";"600700000";"392";;;"3000-01-01";"300500000"
"16138";"600700000";"925";;;"3000-01-01";"300500000"
